"Trends","Search volume","Started","Ended","Trend breakdown","Explore link"
"usa u-19 vs india u-19","500K+","January 15, 2026 at 12:30:00 PM UTC+5:30",,"usa u-19 vs india u-19,henil patel,u19 cricket world cup,u19 world cup,ind vs usa u19,kanishk chouhan,united states national under-19 cricket team vs india national under-19 cricket team match scorecard,india u19 world cup live score,under 19 world cup 2026,ind u19 vs usa u19,u19,under-19 world cup,khilan patel,u19 world cup 2026,ind u19,u 19 world cup 2026,u 19 world cup,india vs usa,india vs usa u19,ind vs usa u19 live score,india vs usa under 19 today match,karnataka cricket team vs vidarbha cricket team match scorecard,usa vs ind,india vs usa under-19 today match scorecard,under 19,india u19,ind u19 world cup,ind vs usa u19 scorecard,united states national under-19 cricket team vs india national under-19 cricket team timeline,u19 cricket world cup schedule,india national under-19 cricket team,ind vs usa u19 world cup,united states national under-19 cricket team vs india national under-19 cricket team standings,india u19 vs usa u19","./explore?q=usa%20u-19%20vs%20india%20u-19&geo=IN"
"albacete vs real madrid","200K+","January 15, 2026 at 12:20:00 AM UTC+5:30",,"albacete vs real madrid,real madrid,albacete balompié vs real madrid,albacete balompié","./explore?q=albacete%20vs%20real%20madrid&geo=IN"
"indians vs warriorz","100K+","January 15, 2026 at 6:50:00 PM UTC+5:30",,"indians vs warriorz,mi vs upw,mumbai indians (wpl) vs up warriorz match scorecard,mi vs up,nat sciver-brunt,wpl 2026: miw vs upw,upw vs mi,mi vs up wpl,mumbai indians (wpl) vs up warriorz timeline,up vs mi,mi w vs up w,miw vs upw","./explore?q=indians%20vs%20warriorz&geo=IN"
"karnataka vs vidarbha","50K+","January 15, 2026 at 1:30:00 PM UTC+5:30",,"karnataka vs vidarbha,aman mokhade,darshan nalkande,kar vs vid,dhruv shorey,vijay hazare trophy cricket,vidyadhar patil,karun nair","./explore?q=karnataka%20vs%20vidarbha&geo=IN"
"bgmi 4.2 update release date","50K+","January 15, 2026 at 5:10:00 AM UTC+5:30",,"bgmi 4.2 update release date,bgmi 4.2 update,bgmi new update,battlegrounds mobile india,bgmi update,bgmi new update 4.2 release date,bgmi 4.2,bgmi update 4.2 release date,bgmi 4.2 update release date and time,bgmi update 4.2,bgmi new update date","./explore?q=bgmi%204.2%20update%20release%20date&geo=IN"
"kalamkaval","20K+","January 15, 2026 at 12:20:00 PM UTC+5:30",,"kalamkaval,kalamkaval ott,kalamkaval ott release,mammootty","./explore?q=kalamkaval&geo=IN"
"harleen deol","20K+","January 15, 2026 at 9:50:00 PM UTC+5:30",,"harleen deol,kiran navgire","./explore?q=harleen%20deol&geo=IN"
"iran airspace","20K+","January 15, 2026 at 4:40:00 PM UTC+5:30",,"iran airspace,flight radar,flight radar 24,qatar airways,flightradar24","./explore?q=iran%20airspace&geo=IN"
"4th grade result","50K+","January 15, 2026 at 7:40:00 AM UTC+5:30",,"4th grade result,rsmssb,rsmssb result,4th grade result rajasthan,rssb results,rssb 4th grade result,fourth grade result,rssb.rajasthan.gov.in,rssb.rajasthan.gov.in 2025,4 grade result,rssb result,4th grade cut off,rssb.rajasthan.gov.in result,rajasthan 4th grade result 2025,4th grade result date,rssb rajasthan gov in","./explore?q=4th%20grade%20result&geo=IN"
"indian army day","50K+","January 14, 2026 at 11:30:00 PM UTC+5:30",,"indian army day,army day 2026,indian army day 2026,indian army,army day parade 2026,happy army day,army","./explore?q=indian%20army%20day&geo=IN"
